CPU usage percentage,Time
2.9,Tue 15 Nov 2022 03:12:12 PM UTC
4.2,Tue 15 Nov 2022 03:12:23 PM UTC
5.7,Tue 15 Nov 2022 03:12:33 PM UTC
11.8,Tue 15 Nov 2022 03:12:43 PM UTC
7.1,Tue 15 Nov 2022 03:12:53 PM UTC
2.9,Tue 15 Nov 2022 03:13:04 PM UTC
2.8,Tue 15 Nov 2022 03:13:14 PM UTC
5.5,Tue 15 Nov 2022 03:13:24 PM UTC
5.9,Tue 15 Nov 2022 03:13:35 PM UTC
2.9,Tue 15 Nov 2022 03:13:45 PM UTC
5.7,Tue 15 Nov 2022 03:13:55 PM UTC
5.6,Tue 15 Nov 2022 03:14:06 PM UTC
2.9,Tue 15 Nov 2022 03:14:16 PM UTC
2.8,Tue 15 Nov 2022 03:14:26 PM UTC
5.7,Tue 15 Nov 2022 03:14:36 PM UTC
24.3,Tue 15 Nov 2022 03:14:47 PM UTC
4.3,Tue 15 Nov 2022 03:14:57 PM UTC
2.8,Tue 15 Nov 2022 03:15:07 PM UTC
17.4,Tue 15 Nov 2022 03:15:17 PM UTC
5.6,Tue 15 Nov 2022 03:15:27 PM UTC
7.0,Tue 15 Nov 2022 03:15:37 PM UTC
13.2,Tue 15 Nov 2022 03:15:48 PM UTC
2.8,Tue 15 Nov 2022 03:15:58 PM UTC
2.9,Tue 15 Nov 2022 03:16:08 PM UTC
5.7,Tue 15 Nov 2022 03:16:18 PM UTC
2.8,Tue 15 Nov 2022 03:16:29 PM UTC
4.3,Tue 15 Nov 2022 03:16:39 PM UTC
3.9,Tue 15 Nov 2022 03:16:49 PM UTC
2.8,Tue 15 Nov 2022 03:17:00 PM UTC
8.5,Tue 15 Nov 2022 03:17:10 PM UTC
